model_num|learn_rate|hidden_units|optimizers|layer_1_act|layer_2_act|layer_3_act|lr|hidden_units_metric|train_acc_step|train_loss|epoch|step|val_acc_step|val_loss
0|0.001|128|SGD|relu|relu|softmax|0.0010000000474974513|128.0|0.15625|-0.09974907338619232|0|49||
0|0.001|128|SGD|relu|relu|softmax|0.0010000000474974513|128.0|0.09375|-0.10063446313142776|0|99||
0|0.001|128|SGD|relu|relu|softmax|0.0010000000474974513|128.0|0.046875|-0.0981927141547203|0|149||
0|0.001|128|SGD|relu|relu|softmax|0.0010000000474974513|128.0|0.203125|-0.10123322159051895|0|199||
0|0.001|128|SGD|relu|relu|softmax|0.0010000000474974513|128.0|0.125|-0.09902790188789368|0|249||
0|0.001|128|SGD|relu|relu|softmax|0.0010000000474974513|128.0|0.171875|-0.10209722816944122|0|299||
0|0.001|128|SGD|relu|relu|softmax|0.0010000000474974513|128.0|0.140625|-0.10257531702518463|0|349||
0|0.001|128|SGD|relu|relu|softmax|0.0010000000474974513|128.0|0.109375|-0.1003945842385292|0|399||
0|0.001|128|SGD|relu|relu|softmax|0.0010000000474974513|128.0|0.125|-0.09985178709030151|0|449||
0|0.001|128|SGD|relu|relu|softmax|0.0010000000474974513|128.0|0.140625|-0.10019636154174805|0|499||
0|0.001|128|SGD|relu|relu|softmax|0.0010000000474974513|128.0|0.140625|-0.09891662746667862|0|549||
0|0.001|128|SGD|relu|relu|softmax|0.0010000000474974513|128.0|0.09375|-0.09867318719625473|0|599||
0|0.001|128|SGD|relu|relu|softmax|0.0010000000474974513|128.0|0.171875|-0.09999848157167435|0|649||
0|0.001|128|SGD|relu|relu|softmax|0.0010000000474974513|128.0|0.109375|-0.10188067704439163|0|699||
0|0.001|128|SGD|relu|relu|softmax|0.0010000000474974513|128.0|0.078125|-0.09976685047149658|0|749||
0|0.001|128|SGD|relu|relu|softmax|0.0010000000474974513|128.0|0.15625|-0.10028606653213501|0|799||
0|0.001|128|SGD|relu|relu|softmax|0.0010000000474974513|128.0|0.109375|-0.10122131556272507|0|849||
0|0.001|128|SGD|relu|relu|softmax|0.0010000000474974513|128.0|0.21875|-0.10342758893966675|0|899||
0|0.001|128|SGD|relu|relu|softmax|0.001000000862404704|128.0|||0|937|0.16088572144508362|-0.10203796625137329
0|0.001|128|SGD|relu|relu|softmax|0.0010000000474974513|128.0|0.1875|-0.10213081538677216|1|949||
0|0.001|128|SGD|relu|relu|softmax|0.0010000000474974513|128.0|0.1875|-0.1026589646935463|1|999||
0|0.001|128|SGD|relu|relu|softmax|0.0010000000474974513|128.0|0.203125|-0.10281727463006973|1|1049||
0|0.001|128|SGD|relu|relu|softmax|0.0010000000474974513|128.0|0.1875|-0.10290949791669846|1|1099||
